Id,name,addr1,addr2,latitude,longitude
0,달콤헤라케이크,경기 화성시 동탄광역환승로 73 반도유보라8.0 카림2차상가 207동 1층 118호,(지번) 오산동 973,,
1,가을햇살수제떡케익,경기 화성시 동탄기흥로 393-15 반도유보라5차상가 1510동 201호,(지번) 오산동 967-1467,37.1953738160195,127.091727259733
2,케이크하랑,경기 수원시 영통구 태장로7번길 38 상가동 105호,(지번) 망포동 700,37.2389613367091,127.04740559749
3,달보드레수제케잌,경기 수원시 영통구 청명남로34번길 3,(지번) 영통동 1011-6,37.2527727228542,127.075962822518
4,멜라카카페,경기 수원시 영통구 영통로 507,(지번) 영통동 954-5,37.264036622056,127.077548715313
5,커피92.5,경기 수원시 팔달구 권광로 181,(지번) 인계동 1113-11,37.2637484872618,127.032221016662
6,커피트래드,경기 수원시 영통구 센트럴파크로 6,(지번) 하동 1021,37.2867166334492,127.064943589159
7,러블리케이크,경기 화성시 동탄반석로 208 아인슈타인프라자 2층 209호,(지번) 반송동 86-1,37.2070336998131,127.073061364531
8,플러터케이크,경기 화성시 동탄반석로 171 스타즈호텔프리미어 LL층,(지번) 반송동 94,37.204093355119,127.070593484942
9,여르미케이크,경기 화성시 동탄반석로 160 동탄지웰에스테이트 1층 126호,(지번) 반송동 93-10,37.2028952416126,127.071620478234
10,제라케이크,경기 수원시 권선구 세지로42번길 31-2 1층 101호,(지번) 세류동 1084-5,37.2554683655357,127.018204999442
11,후케이크,경기 화성시 동탄하나3길 3-3 1층 103호,(지번) 능동 1076-1,37.2139783786629,127.062993776008
12,웨이크어케이크,경기 화성시 동탄지성로 136 우리프라자 106호,(지번) 능동 1113-5,37.2097097769185,127.060687898479
13,위즈케이크,경기 화성시 노작로1길 25 1층,(지번) 반송동 123-12,37.1960163648073,127.080031274559
14,워니케이크,경기 화성시 여울로2길 12,(지번) 능동 1143-7,37.2029294255492,127.053264692452
15,디허케이크룸,"경기 화성시 동탄역로 150 롯데프론트캐슬 A동 1층 111,112호",(지번) 오산동 1089,37.1994994520556,127.096725458554
16,아츄케이크,경기 화성시 동탄대로 636-14 상가동 1층,(지번) 영천동 산 24-1,37.2102717882123,127.099442268872
17,러브인케이크,경기 화성시 효행로 1056 1층 110호,(지번) 병점동 844-2,37.2142131726494,127.042874630252
18,쏠케이크,경기 화성시 병점중앙로35번길 25 임광프라자 1층 101호,(지번) 병점동 491-1,37.2019622575238,127.041754782835
19,플랑케이크,경기 화성시 지산1길 22-6 1층 101호,(지번) 영천동 687-3,37.2083163493063,127.112417985307
20,오르케이크,경기 화성시 지산1길 25-1 1층 101호,(지번) 영천동 685-3,37.2083198400068,127.111585035439
